Bird Species
Maui-nui Akialoa
Biak Monarch
Bocage's Weaver
Paramo Tapaculo
Band-tailed Oropendola
Hooded Wheatear
Lesser Koa Finch
Sunda Teal
Yellow-whiskered Bush Tanager
Negros Scops Owl
Pink Robin
Chestnut-crowned Babbler
Guadalupe Junco
Principe White-eye
Feline Owlet-nightjar
Chestnut-capped Puffbird
Maroon-tailed Parakeet
Bocage's Akalat
Manx Shearwater
Golden-headed Manakin
Puerto Rican Nightjar
Rusty-barred Owl
Barking Imperial Pigeon
Red-backed Flameback
Flores Sea Cuckoo-Dove
Kretschmer's Longbill
Stub-tailed Spadebill
Chestnut-crowned Becard
Asian Red-eyed Bulbul
Rufous-and-white Wren
Blyth's Frogmouth
Melodious Warbler
Lovely Sunbird
Dark-bellied Cinclodes
Canvasback
Cream-colored Courser
Shining Drongo
Black-banded Crake
Moluccan Hanging Parrot
Fine-spotted Woodpecker
Barking Owl
Iquitos Gnatcatcher
Atiu Swiftlet
White-headed Mousebird
South Island Kokako
American Tree Sparrow
Saipan Reed Warbler
Horned Parakeet
Stripe-breasted Wren
Pale-billed Sicklebill
Rufous-backed Wren
Juan Fernandez Tit-Tyrant
Grey Parrot
Large-billed Leaf Warbler
Fiery-tailed Awlbill
'Serra do Lontras' Treehunter
King Quail
White-crowned Manakin
Yellow-bellied Siskin
Blue-moustached Bee-eater
Buff-bellied Warbler
White-cheeked Cotinga
Hooded Pitta
White's Thrush
Darjeeling Woodpecker
Tufted Coquette
Highland Guan
Rufous-crowned Sparrow
White-chinned Sapphire
Tickell's Blue Flycatcher
Planalto Tapaculo
Red-chested Flufftail
Banggai Jungle Flycatcher
Cherrie's Antwren
Guadalupe Murrelet
Rusty-breasted Antpitta
Rock Wren
Alagoas Antwren
Blue-headed Sunbird
Half-collared Sparrow
Green-cheeked Parakeet
Black-cheeked Gnateater
Ocellated Poorwill
Yellow-headed Blackbird
Antillean Palm Swift
Chinese Bush Warbler
Greater Prairie Chicken
Ochre-cheeked Spinetail
Ouvea Parakeet
Brown-breasted Barbet
Pectoral Sandpiper
Blue-faced Malkoha
Blue-vented Hummingbird
Long-tailed Paradigalla
Black-throated Canary
Grey-crowned Tetraka
Uniform Crake
Andaman Crake
Ivory-billed Aracari
Elegant Euphonia
Ashy Wood Pigeon
Blackish-blue Seedeater
Winding Cisticola
Yellow-fronted Canary
Slender-billed Thornbill
Rufous-breasted Wren
Metallic Starling
Scarlet Finch
White-breasted Nigrita
Altai Snowcock
Buff-throated Warbler
Mangareva Reed Warbler
Bronzy Jacamar
Spotted Towhee
Rufous Casiornis
Golden-fronted Greenlet
Starry Owlet-nightjar
Beautiful Sunbird
Long-billed Thrasher
Grey Wagtail
Bare-legged Swiftlet
Sandstone Shrikethrush
Black-capped Lory
Yellow-tinted Honeyeater
Sykes's Warbler
Inland Dotterel
Comoros Fody
Buff-spotted Flufftail
Sulu Hornbill
Mountain Wren-Babbler
Manu Parrotlet
North Island Takahe
Glaucous-blue Grosbeak
